corridor_id,from_country,to_country,currency,base_fee,percentage_fee,fixed_fee,min_limit,max_limit,min_fee,max_fee
RU-CN-CNY,RU,CN,CNY,50.00,0.015,25.00,1000,1000000,100.00,5000.00
RU-AE-AED,RU,AE,AED,40.00,0.012,20.00,500,500000,80.00,3000.00
RU-IN-INR,RU,IN,INR,35.00,0.018,15.00,1000,750000,90.00,4000.00
CN-RU-RUB,CN,RU,RUB,45.00,0.014,20.00,1000,800000,95.00,4500.00
AE-RU-RUB,AE,RU,RUB,38.00,0.013,18.00,500,600000,85.00,3500.00
RU-TR-TRY,RU,TR,TRY,30.00,0.016,12.00,500,400000,75.00,2500.00
TR-RU-RUB,TR,RU,RUB,32.00,0.015,14.00,500,400000,78.00,2800.00
CN-AE-AED,CN,AE,AED,42.00,0.011,22.00,1000,900000,88.00,4200.00
AE-IN-INR,AE,IN,INR,36.00,0.017,16.00,500,700000,82.00,3800.00
IN-CN-CNY,IN,CN,CNY,48.00,0.013,24.00,1000,850000,92.00,4800.00
